0.027,0.654,0,9.4294e-06,-0.34978
0.034,0.425,0.02,2.879e-05,-0.34928
0.035,0.293,0.017,0.00012134,-0.34872
0.035,0.013,-0.012,0.00074702,-0.34759
0.028,-0.209,-0.01,0.004418,-0.34707
-0.015,-0.335,-0.022,0.0078423,-0.34496
0.007,-0.528,0.027,0.040234,-0.34364
-0.008,-0.594,-0.019,0.0097037,-0.32557
-0,-0.595,-0.019,0.13495,-0.33838
-0.006,-0.368,0.027,0.16045,-0.33014
-0.006,-0.321,0.027,0.2159,-0.32616
-0,-0.113,0.03,0.33273,-0.31541
-0,-0.074,0.029,1,-0.31955
-0,-0.035,0.028,0.68063,-0.30516
